tab	specimens
specimen	sample	experiments	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	software_packages	int_corr	citations	method_codes	location	site	specimen_direction_type
ns007f1	ns007f	ns007f1 : LT-NO		HEM	305.9	41.5	14	100	1.4				0.18	0	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns007	l
ns007f1	ns007f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007f1	ns007f	ns007f1 : LT-NO		HEM	311.5	32.1	14	0	1.4				0.18	0	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns007	l
ns007f2	ns007f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007g1	ns007g									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007g1	ns007g	ns007g1 : LT-NO		HEM	308.3	27.1	8	0	0.5				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns007	l
ns007g1	ns007g	ns007g1 : LT-NO		HEM	303.4	36.1	8	100	0.5				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns007	l
ns008a1	ns008a									Igneous : Intrusive	Sill	Diorite							This study		North Shore Volcanics	ns008	
ns008a1	ns008a	ns008a1 : LT-NO		HEM	318.7	44.8	20	100	2.3				923	0.01	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns008	l
ns008a1	ns008a	ns008a1 : LT-NO		HEM	321.8	33.4	20	0	2.3				923	0.01	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns008	l
ns008b1	ns008b									Igneous : Intrusive	Sill	Diorite							This study		North Shore Volcanics	ns008	
ns008b1	ns008b	ns008b1 : LT-NO		HEM	318.1	36.3	11	0	1.8				948	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns008	l
ns008b1	ns008b	ns008b1 : LT-NO		HEM	313.9	47.4	11	100	1.8				948	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns008	l
ns008b2	ns008b									Igneous : Intrusive	Sill	Diorite							This study		North Shore Volcanics	ns008	
ns008c1	ns008c									Igneous : Intrusive	Sill	Diorite							This study		North Shore Volcanics	ns008	
ns008c1	ns008c	ns008c1 : LT-NO		HEM	312	33.3	8	0	2.2				923	273	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns008	l
ns008c1	ns008c	ns008c1 : LT-NO		HEM	307.3	43.8	8	100	2.2				923	273	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns008	l
ns008c2	ns008c									Igneous : Intrusive	Sill	Diorite							This study		North Shore Volcanics	ns008	
