tab	samples
sample	site	specimens	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	orientation_quality	citations	method_codes	timestamp	timestamp	timestamp	timestamp	location	sample_direction_type
ns004a	ns004									47.73275	269.56367	Igneous : Extrusive	Lava Flow	Basalt				25	0	12	167	-28	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns004b	ns004									47.73275	269.56367	Igneous : Extrusive	Lava Flow	Basalt				318	0	12	167	-61	g	This study	FS-FD : SO-POM : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns004c	ns004	ns004c1	MAG	295.2	55.3	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns004c	ns004									47.73275	269.56367	Igneous : Extrusive	Lava Flow	Basalt				29.6	0	12	167	-19	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns004c	ns004	ns004c1	MAG	306.1	47	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns004d	ns004									47.73275	269.56367	Igneous : Extrusive	Lava Flow	Basalt				3	0	12	167	-74	g	This study	FS-FD : SO-POM : SO-GT5 : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns004e	ns004	ns004e1	MAG	297.9	36.8	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns004e	ns004									47.73275	269.56367	Igneous : Extrusive	Lava Flow	Basalt				315.8	0	12	167	-59	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns004e	ns004	ns004e1	MAG	289.6	44.1	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns004f	ns004	ns004f1	MAG	290.5	43.8	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
