tab 	measurements
citations	dir_csd	dir_dec	dir_inc	experiment	location	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sample	site	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	0.5	224.5	53.3	ns008k1:LT-NO	North Shore Volcanics	5.098e-06	4	273	1	LT-NO	g	ns008k	ns008	ns008k1	u	SAN	0	0	0	0	273
This study	0.3	201.8	50.4	ns009a1:LT-NO	North Shore Volcanics	3.398e-06	4	273	1	LT-NO	g	ns009a	ns009	ns009a1	u	SAN	0	0	0	0	273
This study	0.3	206.2	53.8	ns009a2:LT-NO	North Shore Volcanics	3.236e-06	4	273	1	LT-NO	g	ns009a	ns009	ns009a2	u	SAN	0	0	0	0	273
This study	0.2	154.5	42.5	ns009b1:LT-NO	North Shore Volcanics	2.139e-06	4	273	1	LT-NO	g	ns009b	ns009	ns009b1	u	SAN	0	0	0	0	273
This study	0.3	156.7	45.6	ns009b2:LT-NO	North Shore Volcanics	1.599e-06	4	273	1	LT-NO	g	ns009b	ns009	ns009b2	u	SAN	0	0	0	0	273
This study	0.5	192	54.1	ns009c1:LT-NO	North Shore Volcanics	2.635e-06	4	273	1	LT-NO	g	ns009c	ns009	ns009c1	u	SAN	0	0	0	0	273
This study	0.5	195.1	56.7	ns009c2:LT-NO	North Shore Volcanics	2.564e-06	4	273	1	LT-NO	g	ns009c	ns009	ns009c2	u	SAN	0	0	0	0	273
This study	0.3	129.2	73.2	ns009d1:LT-NO	North Shore Volcanics	2.31e-05	4	273	1	LT-NO	g	ns009d	ns009	ns009d1	u	SAN	0	0	0	0	273
This study	0.3	122.1	75	ns009d2:LT-NO	North Shore Volcanics	2.056e-05	4	273	1	LT-NO	g	ns009d	ns009	ns009d2	u	SAN	0	0	0	0	273
This study	0.5	218.8	72.8	ns009e1:LT-NO	North Shore Volcanics	1.941e-05	4	273	1	LT-NO	g	ns009e	ns009	ns009e1	u	SAN	0	0	0	0	273
This study	0.5	216.8	72.8	ns009e2:LT-NO	North Shore Volcanics	1.987e-05	4	273	1	LT-NO	g	ns009e	ns009	ns009e2	u	SAN	0	0	0	0	273
