pole_name,citations,location,site,lat,lon,age,age_high,age_low,age_unit,age_uncertainty,dir_dec,dir_inc,dir_k,dir_f,dir_alpha95,dir_r,dir_tilt_correction,dir_polarity,dir_n_specimens,dir_n_samples,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,geologic_classes,lithologies,geologic_types,age_model,height_type,height,height_upper,height_lower,paleolatitude,Plon,Plat
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI3(36.9 to 48.4),48.7817,272.369,1108.0,1110.0,1105.15,Ma,uniform,99.6,-70.5,176.67207499549306,1.0,4.3,,100,r,6.0,6.0,-42.637458365540546,41.59610986350708,42.637458365540546,221.59610986350708,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,779.9,,,-54.6924566006785,221.59610986350708,42.637458365540546
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI3(5.5 to 12.5),48.7826,272.3677,1108.0,1110.0,1105.15,Ma,uniform,127.5,-72.5,151.23456790123456,1.0,3.6,,100,r,10.0,10.0,-58.236725319144824,38.864917036569125,58.236725319144824,218.86491703656912,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,748.5,,,-57.764568406109916,218.86491703656912,58.236725319144824
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI3(55.8 to 60.9),48.7812,272.3696,1108.0,1110.0,1105.15,Ma,uniform,105.6,-70.7,176.67207499549306,1.0,4.3,,100,r,6.0,6.0,-45.870542266690606,39.849809870475156,45.870542266690606,219.84980987047516,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,798.8,,,-54.99298416235213,219.84980987047516,45.870542266690606
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI4(106.0 to 121.4),48.7499,272.4047,1105.15,1105.48,1104.82,Ma,gaussian,120.7,-56.8,151.43320713899405,1.0,4.3,,100,r,7.0,7.0,-46.3815696019572,10.346127518157118,46.3815696019572,190.34612751815712,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2089.0,,,-37.38272494893819,190.34612751815712,46.3815696019572
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI4(121.4 to 127.3),48.7494,272.4046,1105.15,1105.48,1104.82,Ma,gaussian,111.5,-50.9,166.56751933372993,1.0,4.1,,100,r,7.0,7.0,-36.854863471270164,10.365822604690948,36.854863471270164,190.36582260469095,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2104.4,,,-31.601901846954355,190.36582260469095,36.854863471270164
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI4(133.8 to 143.1),48.749,272.4045,1105.15,1105.48,1104.82,Ma,gaussian,109.6,-60.6,126.75418741511994,1.0,4.7,,100,r,7.0,7.0,-41.63984922677454,21.8658380246261,41.63984922677454,201.8658380246261,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2116.8,,,-41.58447298965046,201.8658380246261,41.63984922677454
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI4(160.4 to 171.1),48.7485,272.4042,1105.15,1105.48,1104.82,Ma,gaussian,151.1,-62.4,153.125,1.0,4.0,,100,r,8.0,8.0,-69.52326143183944,359.1392781600862,69.52326143183944,179.13927816008618,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2143.4,,,-43.72368002531006,179.13927816008618,69.52326143183944
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI5a(0.0 to 9.0),48.7363,272.3038,1105.15,1105.48,1104.82,Ma,gaussian,112.8,-52.5,107.38549200087662,1.0,3.9,,100,r,12.0,12.0,-38.645514561703884,10.845944952783725,38.645514561703884,190.84594495278373,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,3115.0,,,-33.08877584836687,190.84594495278373,38.645514561703884
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI5b(115.0 to 120.2),48.7388,272.3145,1105.15,1105.48,1104.82,Ma,gaussian,114.7,-56.0,411.67821886158373,1.0,2.3,,100,r,9.0,9.0,-41.99277224644118,13.202506647664734,41.99277224644118,193.20250664766473,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2955.0,,,-36.54881863016425,193.20250664766473,41.99277224644118
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI5b(132.4 to 171.9),48.7385,272.3136,1105.15,1105.48,1104.82,Ma,gaussian,103.5,-60.9,132.32514177693764,1.0,4.6,,100,r,7.0,7.0,-38.088487882069174,25.523553181201294,38.088487882069174,205.5235531812013,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2972.4,,,-41.93407301313021,205.5235531812013,38.088487882069174
